기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,avg_price,gu,lat,lon
20244,A,골목상권,3110110,상왕십리역 6번,CS300001,슈퍼마켓,117427387,19515,6017.288598513964,성동구,37.564093,127.027776
20244,A,골목상권,3110112,행당역 2번,CS100001,한식음식점,1653742676,48182,34322.83167988045,성동구,37.559227,127.031419
20244,A,골목상권,3110112,행당역 2번,CS100010,커피-음료,88802392,16898,5255.201325600663,성동구,37.559227,127.031419
20244,A,골목상권,3110113,응봉산,CS100001,한식음식점,76602350,2386,32104.92455993294,성동구,37.548775,127.031527
20244,A,골목상권,3110113,응봉산,CS100010,커피-음료,2871788,508,5653.1259842519685,성동구,37.548775,127.031527
20244,A,골목상권,3110114,왕십리파출소,CS100001,한식음식점,1196530783,14605,81926.10633344745,성동구,37.567399,127.031422
20244,A,골목상권,3110114,왕십리파출소,CS300001,슈퍼마켓,53219473,6697,7946.763177542183,성동구,37.567399,127.031422
20244,A,골목상권,3110115,상왕십리역 3번,CS100001,한식음식점,2593417795,24968,103869.66497116309,성동구,37.565389,127.031681
20244,A,골목상권,3110115,상왕십리역 3번,CS100010,커피-음료,105842883,13773,7684.809627532128,성동구,37.565389,127.031681
20244,A,골목상권,3110115,상왕십리역 3번,CS300001,슈퍼마켓,273363254,16610,16457.751595424445,성동구,37.565389,127.031681
20244,A,골목상권,3110115,상왕십리역 3번,CS300002,편의점,214765105,29985,7162.41804235451,성동구,37.565389,127.031681
20244,A,골목상권,3110116,청계천박물관,CS100001,한식음식점,157721702,7671,20560.774605657673,성동구,37.570398,127.035012
20244,A,골목상권,3110117,성동구보건소,CS100001,한식음식점,362365343,2644,137051.94515885023,성동구,37.567073,127.035361
20244,A,골목상권,3110118,왕십리역 9번,CS100001,한식음식점,710111545,18358,38681.31305153067,성동구,37.557838,127.035877
20244,A,골목상권,3110118,왕십리역 9번,CS100010,커피-음료,254381845,45024,5649.916600035536,성동구,37.557838,127.035877
20244,A,골목상권,3110118,왕십리역 9번,CS300001,슈퍼마켓,1054574914,52917,19928.849216697847,성동구,37.557838,127.035877
20244,A,골목상권,3110120,서울숲카페거리,CS100010,커피-음료,8324425,990,8408.5101010101,성동구,37.547222,127.041066
20244,A,골목상권,3110121,한양대역 4번,CS100001,한식음식점,211280389,5335,39602.69709465792,성동구,37.556773,127.041864
20244,A,골목상권,3110121,한양대역 4번,CS100010,커피-음료,128145998,20429,6272.749424837241,성동구,37.556773,127.041864
20244,A,골목상권,3110122,마장역 2번,CS100001,한식음식점,3101439189,39438,78640.88414726913,성동구,37.567827,127.044145
20244,A,골목상권,3110122,마장역 2번,CS100010,커피-음료,116098273,17074,6799.71143258756,성동구,37.567827,127.044145
20244,A,골목상권,3110122,마장역 2번,CS300001,슈퍼마켓,1962268533,177270,11069.377407344728,성동구,37.567827,127.044145
20244,A,골목상권,3110123,마장역 3번,CS100001,한식음식점,1909279662,91817,20794.402583399587,성동구,37.566682,127.045016
20244,A,골목상권,3110123,마장역 3번,CS300001,슈퍼마켓,50774104,13467,3770.2609341352936,성동구,37.566682,127.045016
20244,A,골목상권,3110124,뚝섬역교차로,CS100001,한식음식점,493198528,24091,20472.314474285,성동구,37.550059,127.045277
20244,A,골목상권,3110124,뚝섬역교차로,CS100010,커피-음료,712503763,39218,18167.77405783059,성동구,37.550059,127.045277
20244,A,골목상권,3110124,뚝섬역교차로,CS300001,슈퍼마켓,278350308,49993,5567.7856499909985,성동구,37.550059,127.045277
20244,A,골목상권,3110124,뚝섬역교차로,CS300002,편의점,775044600,123417,6279.885267021561,성동구,37.550059,127.045277
20244,A,골목상권,3110125,사근동살곶이상점가,CS100001,한식음식점,931018983,52370,17777.715925147986,성동구,37.561015,127.046586
20244,A,골목상권,3110125,사근동살곶이상점가,CS100010,커피-음료,264256865,30710,8604.912569195702,성동구,37.561015,127.046586
20244,A,골목상권,3110125,사근동살곶이상점가,CS300001,슈퍼마켓,432145596,61211,7059.933606704677,성동구,37.561015,127.046586
20244,A,골목상권,3110125,사근동살곶이상점가,CS300002,편의점,371899389,66136,5623.251920285473,성동구,37.561015,127.046586
20244,A,골목상권,3110126,서울숲역 1번,CS100001,한식음식점,132736063,3456,38407.42563657407,성동구,37.54549,127.046542
20244,A,골목상권,3110126,서울숲역 1번,CS100010,커피-음료,129000000,9686,13318.191203799299,성동구,37.54549,127.046542
20244,A,골목상권,3110127,성수1가1동주민센터,CS100001,한식음식점,277478120,6557,42317.84657617813,성동구,37.54157,127.049414
20244,A,골목상권,3110127,성수1가1동주민센터,CS100010,커피-음료,229353124,22434,10223.460996701435,성동구,37.54157,127.049414
20244,A,골목상권,3110128,성원중학교,CS100001,한식음식점,2789106211,83902,33242.42820194989,성동구,37.538164,127.049921
20244,A,골목상권,3110128,성원중학교,CS100010,커피-음료,62099082,6831,9090.774703557312,성동구,37.538164,127.049921
20244,A,골목상권,3110128,성원중학교,CS300001,슈퍼마켓,2549721981,194182,13130.578431574502,성동구,37.538164,127.049921
20244,A,골목상권,3110128,성원중학교,CS300002,편의점,715472598,95931,7458.200143853394,성동구,37.538164,127.049921
20244,A,골목상권,3110129,성원어린이공원,CS100001,한식음식점,773827074,28297,27346.611796303496,성동구,37.5503,127.050223
20244,A,골목상권,3110129,성원어린이공원,CS100010,커피-음료,24000000,2997,8008.008008008008,성동구,37.5503,127.050223
20244,A,골목상권,3110129,성원어린이공원,CS300001,슈퍼마켓,70280515,8064,8715.34164186508,성동구,37.5503,127.050223
20244,A,골목상권,3110130,답십리역 6번,CS100001,한식음식점,222712016,3510,63450.716809116806,성동구,37.565544,127.052418
20244,A,골목상권,3110131,성수동카페거리,CS100001,한식음식점,5548731270,186347,29776.338068227553,성동구,37.542604,127.053363
20244,A,골목상권,3110131,성수동카페거리,CS100010,커피-음료,1245572602,118942,10472.100704545071,성동구,37.542604,127.053363
20244,A,골목상권,3110131,성수동카페거리,CS300001,슈퍼마켓,63339412,3255,19459.112749615975,성동구,37.542604,127.053363
20244,A,골목상권,3110131,성수동카페거리,CS300002,편의점,523579061,90059,5813.73389666774,성동구,37.542604,127.053363
20244,A,골목상권,3110132,성수2가3동주민센터,CS100001,한식음식점,348493006,14551,23949.763315236065,성동구,37.549407,127.053945
20244,A,골목상권,3110132,성수2가3동주민센터,CS100010,커피-음료,310267221,27239,11390.551084841587,성동구,37.549407,127.053945
20244,A,골목상권,3110133,서울교통공사,CS100001,한식음식점,634913719,15973,39749.18418581356,성동구,37.562668,127.056637
20244,A,골목상권,3110134,성수119안전센터,CS100001,한식음식점,1255329878,27105,46313.59077660948,성동구,37.53607,127.057274
20244,A,골목상권,3110134,성수119안전센터,CS100010,커피-음료,123819177,11366,10893.821661094493,성동구,37.53607,127.057274
20244,A,골목상권,3110134,성수119안전센터,CS300001,슈퍼마켓,439488121,25123,17493.457031405484,성동구,37.53607,127.057274
20244,A,골목상권,3110134,성수119안전센터,CS300002,편의점,1825166019,232655,7844.9464614987855,성동구,37.53607,127.057274
20244,A,골목상권,3110135,성동세무서,CS100001,한식음식점,1015930145,36314,27976.266591397256,성동구,37.549359,127.059456
20244,A,골목상권,3110135,성동세무서,CS100010,커피-음료,6354676,624,10183.77564102564,성동구,37.549359,127.059456
20244,A,골목상권,3110136,경수초등학교,CS100001,한식음식점,4113677169,137013,30023.99165772591,성동구,37.540574,127.059959
